Date,Reservoir Depth
2000/1/31,25.4
2000/2/29,25.8
2000/3/31,26.2
2000/4/30,26.2
2000/5/31,26.2
2000/6/30,26.1
2000/7/31,25.7
2000/8/31,24.7
2000/9/30,22.1
2000/10/31,20.2
2000/11/30,20.1
2000/12/31,20.6
2001/1/31,22.8
2001/2/28,25.1
2001/3/31,25.5
2001/4/30,26.1
2001/5/31,26.1
2001/6/30,25.8
2001/7/31,25.3
2001/8/31,22.9
2001/9/30,20.5
2001/10/31,20.1
2001/11/30,20.2
2001/12/31,20.4
2002/1/31,22
2002/2/28,23
2002/3/31,25.1
2002/4/30,25.5
2002/5/31,26
2002/6/30,26.2
2002/7/31,25.5
2002/8/31,24.4
2002/9/30,21.2
2002/10/31,20.1
2002/11/30,20.1
2002/12/31,21.3
2003/1/31,23.2
2003/2/28,25.3
2003/3/31,25.5
2003/4/30,26.1
2003/5/31,26.1
2003/6/30,26.1
2003/7/31,26
2003/8/31,25.4
2003/9/30,23.3
2003/10/31,20.7
2003/11/30,20.1
2003/12/31,21.4
2004/1/31,23.4
2004/2/29,25.1
2004/3/31,25.6
2004/4/30,26.2
2004/5/31,26.2
2004/6/30,26.2
2004/7/31,25.5
2004/8/31,24.3
2004/9/30,21.7
2004/10/31,20.1
2004/11/30,20
2004/12/31,20.9
2005/1/31,22.5
2005/2/28,23.7
2005/3/31,25.1
2005/4/30,25.3
2005/5/31,25.2
2005/6/30,23.2
2005/7/31,23.6
2005/8/31,25.2
2005/9/30,25.2
2005/10/31,23.8
2005/11/30,22.5
2005/12/31,23.4
2006/1/31,25.3
2006/2/28,24.3
2006/3/31,22.9
2006/4/30,23.6
2006/5/31,23
2006/6/30,21.4
2006/7/31,21.8
2006/8/31,24.1
2006/9/30,25.4
2006/10/31,25.2
2006/11/30,25.1
2006/12/31,25.2
2007/1/31,25.3
2007/2/28,25.3
2007/3/31,24.9
2007/4/30,24.4
2007/5/31,24.5
2007/6/30,25.3
2007/7/31,25.2
2007/8/31,22.5
2007/9/30,19.7
2007/10/31,19.5
2007/11/30,19.6
2007/12/31,19.7
2008/1/31,21
2008/2/29,21.8
2008/3/31,22.6
2008/4/30,22.8
2008/5/31,21.9
2008/6/30,23.1
2008/7/31,20.4
2008/8/31,18.5
2008/9/30,14.2
2008/10/31,11.3
2008/11/30,13.4
2008/12/31,16.9
2009/1/31,18.3
2009/2/28,19.5
2009/3/31,20.3
2009/4/30,21.8
2009/5/31,23.6
2009/6/30,25.2
2009/7/31,24.1
2009/8/31,20.3
2009/9/30,18.5
2009/10/31,16.2
2009/11/30,11.2
2009/12/31,14.3
